Movie Name,Release Year,IMDb Rating
Snow White and the Seven Dwarfs,1937,7.6
Pinocchio,1940,7.5
Fantasia,1940,7.7
Dumbo,1941,7.2
Bambi,1942,7.3
Victory Through Air Power,1943,6.5
The Three Caballeros,1944,6.3
Make Mine Music,1946,6.1
Song of the South,1946,6.9
Fun and Fancy Free,1947,6.4
Melody Time,1948,6.1
The Adventures of Ichabod and Mr. Toad,1949,6.8
Cinderella,1950,7.3
Alice in Wonderland,1951,7.3
Peter Pan,1953,7.3
Lady and the Tramp,1955,7.3
Sleeping Beauty,1959,7.2
One Hundred and One Dalmatians,1961,7.3
The Sword in the Stone,1963,7.1
The Jungle Book,1967,7.6
The Aristocats,1970,7.1
Robin Hood,1973,7.5
The Many Adventures of Winnie the Pooh,1977,7.5
The Rescuers,1977,6.9
The Fox and the Hound,1981,7.2
The Black Cauldron,1985,6.3
The Great Mouse Detective,1986,7.1
Who Framed Roger Rabbit,1988,7.7
Oliver & Company,1988,6.6
The Little Mermaid,1989,7.6
DuckTales the Movie: Treasure of the Lost Lamp,1990,6.8
The Rescuers Down Under,1990,6.8
Beauty and the Beast,1991,8.0
Aladdin,1992,8.0
The Nightmare Before Christmas,1993,7.9
The Lion King,1994,8.5
A Goofy Movie,1995,6.9
Pocahontas,1995,6.7
Toy Story,1995,8.3
James and the Giant Peach,1996,6.7
